no,Date,ODA pacific total,Fiji,Kiribati,Marshall Islands,Melanesia. regional,Micronesia,Nauru,Oceania. regional,Palau,Papua New Guinea,Samoa,Solomon Islands,Tonga,Tuvalu,Vanuatu
1,2009,3712,373,22,0,,0,0,2363,0,625,115,146,6,0,62
2,2010,4503,343,36,0,,0,8,2956,12,669,150,144,99,28,58
3,2011,2486,130,16,7,,0,0,2045,0,-200,254,116,21,31,67
4,2012,5579,667,17,5,,0,0,3275,0,1328,0,227,19,20,20
5,2013,5103,953,14,2,,0,0,2855,0,593,174,431,22,2,57
6,2014,7386,1086,18,0,,0,15,4367,0,1097,0,784,8,0,12
7,2015,8290,1262,12,0,,0,0,3073,0,947,0,517,1,26,2451
8,2016,5750,194,12,0,,0,0,3688,0,785,0,112,0,0,960
9,2017,5862,1103,18,239,0,5,,3387,,614,166,251,22,0,58
10,2018,11025,251,9,57,0,70,,8299,,1276,59,896,59,44,7
11,2019,16278,3431,31,83,1078,141,,5838,,1443,1870,796,72,48,1449
12,2020,19139,2761,25,0,4688,93,,9242,,1246,75,898,26,13,74
13,2021,9708.43,1283.57,7.33,0,860.18,0,,4255.76,,1196.43,659.84,599.4,138.44,18.37,689.11
